"","Schnall Condition","Schnall Moral judgment","Johnson Condition","Johnson Moral judgment"
"122",NA,NA,"neutral priming",7
"123",NA,NA,"clean priming",6.17
"124",NA,NA,"clean priming",5
"125",NA,NA,"clean priming",6.5
"126",NA,NA,"clean priming",6
"127",NA,NA,"neutral priming",7.5
"128",NA,NA,"neutral priming",6.5
"129",NA,NA,"neutral priming",5.67
"130",NA,NA,"clean priming",6
"131",NA,NA,"neutral priming",8
"132",NA,NA,"neutral priming",7.67
"133",NA,NA,"neutral priming",5.5
"134",NA,NA,"clean priming",6.5
"135",NA,NA,"clean priming",6.67
"136",NA,NA,"clean priming",8
"137",NA,NA,"clean priming",6.33
"138",NA,NA,"clean priming",7.33
"139",NA,NA,"neutral priming",3.67
"140",NA,NA,"neutral priming",6.83
"141",NA,NA,"neutral priming",6
"142",NA,NA,"neutral priming",7.33
"143",NA,NA,"clean priming",5.5
"144",NA,NA,"neutral priming",6.67
"145",NA,NA,"clean priming",7
"146",NA,NA,"neutral priming",6
"147",NA,NA,"clean priming",6.5
"148",NA,NA,"neutral priming",5
"149",NA,NA,"neutral priming",7.83
"150",NA,NA,"neutral priming",7.83
"151",NA,NA,"clean priming",7.5
"152",NA,NA,"clean priming",5
"153",NA,NA,"clean priming",7
"154",NA,NA,"neutral priming",4.83
"155",NA,NA,"neutral priming",6
"156",NA,NA,"neutral priming",8
"157",NA,NA,"clean priming",6.83
"158",NA,NA,"neutral priming",7
"159",NA,NA,"neutral priming",5.33
"160",NA,NA,"clean priming",7.33
"161",NA,NA,"neutral priming",7.67
"162",NA,NA,"neutral priming",4
"163",NA,NA,"clean priming",6.67
"164",NA,NA,"neutral priming",7
"165",NA,NA,"neutral priming",7.83
"166",NA,NA,"neutral priming",7
"167",NA,NA,"neutral priming",7
"168",NA,NA,"clean priming",6.33
"169",NA,NA,"neutral priming",6.33
"170",NA,NA,"neutral priming",4.67
"171",NA,NA,"clean priming",7
"172",NA,NA,"neutral priming",6.5
"173",NA,NA,"clean priming",6.17
"174",NA,NA,"clean priming",7.33
"175",NA,NA,"neutral priming",7
"176",NA,NA,"neutral priming",7.67
"177",NA,NA,"neutral priming",6.67
"178",NA,NA,"neutral priming",8
"179",NA,NA,"clean priming",7
"180",NA,NA,"neutral priming",6.67
"181",NA,NA,"neutral priming",4.5
"182",NA,NA,"clean priming",7
"183",NA,NA,"neutral priming",8
"184",NA,NA,"neutral priming",6
"185",NA,NA,"clean priming",7.17
"186",NA,NA,"neutral priming",4.67
"187",NA,NA,"clean priming",5.5
"188",NA,NA,"clean priming",6.67
"189",NA,NA,"neutral priming",7.17
"190",NA,NA,"clean priming",7.33
"191",NA,NA,"clean priming",7.5
"192",NA,NA,"neutral priming",7.17
"193",NA,NA,"clean priming",4.5
"194",NA,NA,"clean priming",7.17
"195",NA,NA,"clean priming",6.67
"196",NA,NA,"neutral priming",6.67
"197",NA,NA,"clean priming",7
"198",NA,NA,"clean priming",5.5
"199",NA,NA,"neutral priming",7
"200",NA,NA,"neutral priming",6.83
"201",NA,NA,"clean priming",6.17
"202",NA,NA,"clean priming",7.67
"203",NA,NA,"clean priming",5.33
"204",NA,NA,"clean priming",5
"205",NA,NA,"neutral priming",3.67
"206",NA,NA,"neutral priming",7.67
"207",NA,NA,"neutral priming",6.67
"208",NA,NA,"neutral priming",6.33
