"","Violence","Difficulty","Agression"
"115","Violent","Easy",30
"116","Violent","Easy",60
"117","Violent","Easy",40
"118","Violent","Easy",80
"119","Violent","Easy",60
"120","Violent","Easy",70
"121","Violent","Easy",60
"122","Violent","Easy",80
"123","Violent","Easy",80
"124","Violent","Easy",0
"125","Violent","Easy",70
"126","Violent","Easy",40
"127","Violent","Easy",40
"128","Violent","Easy",20
"129","Violent","Easy",80
"130","Violent","Easy",20
"131","Violent","Easy",50
"132","Violent","Easy",40
"133","Violent","Easy",40
"134","Violent","Easy",50
"135","Violent","Easy",70
"136","Violent","Easy",60
"137","Violent","Easy",60
"138","Violent","Easy",80
"139","Violent","Easy",80
"140","Violent","Easy",80
"141","Violent","Easy",40
"142","Violent","Easy",40
"143","Violent","Easy",80
"144","Violent","Easy",30
"145","Violent","Easy",10
"146","Violent","Easy",40
"147","Violent","Easy",80
"148","Violent","Easy",80
"149","Violent","Easy",40
"150","Violent","Easy",20
"151","Violent","Easy",50
"152","Violent","Easy",80
"153","Violent","Easy",60
"154","Violent","Easy",60
"155","Violent","Easy",60
"156","Violent","Easy",80
"157","Violent","Easy",70
"158","Violent","Easy",80
"159","Violent","Easy",80
"160","Violent","Easy",40
"161","Violent","Easy",70
"162","Violent","Easy",60
"163","Violent","Easy",40
"164","Violent","Easy",30
"165","Violent","Easy",40
"166","Violent","Easy",40
"167","Violent","Easy",80
"168","Violent","Hard",40
"169","Violent","Hard",80
"170","Violent","Hard",30
"171","Violent","Hard",30
"172","Violent","Hard",80
"173","Violent","Hard",0
"174","Violent","Hard",80
"175","Violent","Hard",50
"176","Violent","Hard",40
"177","Violent","Hard",20
"178","Violent","Hard",40
"179","Violent","Hard",60
"180","Violent","Hard",70
"181","Violent","Hard",80
"182","Violent","Hard",0
"183","Violent","Hard",80
"184","Violent","Hard",50
"185","Violent","Hard",40
"186","Violent","Hard",20
"187","Violent","Hard",30
"188","Violent","Hard",30
"189","Violent","Hard",80
"190","Violent","Hard",20
"191","Violent","Hard",50
"192","Violent","Hard",80
"193","Violent","Hard",40
"194","Violent","Hard",20
"195","Violent","Hard",60
"196","Violent","Hard",10
"197","Violent","Hard",30
"198","Violent","Hard",60
"199","Violent","Hard",70
"200","Violent","Hard",50
"201","Violent","Hard",80
"202","Violent","Hard",60
"203","Violent","Hard",80
"204","Violent","Hard",80
"205","Violent","Hard",60
"206","Violent","Hard",80
"207","Violent","Hard",20
"208","Violent","Hard",80
"209","Violent","Hard",60
"210","Violent","Hard",40
"211","Violent","Hard",40
"212","Violent","Hard",40
"213","Violent","Hard",50
"214","Violent","Hard",10
"215","Violent","Hard",40
"216","Violent","Hard",50
"217","Violent","Hard",40
"218","Violent","Hard",80
"219","Violent","Hard",80
"220","Violent","Hard",60
"221","Violent","Hard",0
"222","Violent","Hard",40
"223","Violent","Hard",80
