"","ID","Study Technique","Stress Status","%Recalled","Items Recalled","Group"
"55",226,"Reviewing","Stress",13.333,4,"Rev-Stress"
"56",227,"Reviewing","Stress",13.333,4,"Rev-Stress"
"57",228,"Reviewing","Stress",23.333,7,"Rev-Stress"
"58",229,"Reviewing","Stress",36.667,11,"Rev-Stress"
"59",230,"Reviewing","Stress",23.333,7,"Rev-Stress"
"60",232,"Reviewing","Stress",36.667,11,"Rev-Stress"
"61",300,"Self-Testing","No Stress",23.333,7,"SelfT-NoStress"
"62",301,"Self-Testing","No Stress",50,15,"SelfT-NoStress"
"63",302,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
"64",303,"Self-Testing","No Stress",20,6,"SelfT-NoStress"
"65",304,"Self-Testing","No Stress",36.667,11,"SelfT-NoStress"
"66",305,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
"67",306,"Self-Testing","No Stress",46.667,14,"SelfT-NoStress"
"68",308,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
"69",309,"Self-Testing","No Stress",26.667,8,"SelfT-NoStress"
"70",310,"Self-Testing","No Stress",53.333,16,"SelfT-NoStress"
"71",311,"Self-Testing","No Stress",43.333,13,"SelfT-NoStress"
"72",312,"Self-Testing","No Stress",16.667,5,"SelfT-NoStress"
"73",314,"Self-Testing","No Stress",36.667,11,"SelfT-NoStress"
"74",315,"Self-Testing","No Stress",56.667,17,"SelfT-NoStress"
"75",316,"Self-Testing","No Stress",26.667,8,"SelfT-NoStress"
"76",317,"Self-Testing","No Stress",20,6,"SelfT-NoStress"
"77",319,"Self-Testing","No Stress",46.667,14,"SelfT-NoStress"
"78",320,"Self-Testing","No Stress",20,6,"SelfT-NoStress"
"79",321,"Self-Testing","No Stress",30,9,"SelfT-NoStress"
"80",322,"Self-Testing","No Stress",43.333,13,"SelfT-NoStress"
"81",324,"Self-Testing","No Stress",30,9,"SelfT-NoStress"
"82",326,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
"83",327,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
"84",328,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
"85",329,"Self-Testing","No Stress",23.333,7,"SelfT-NoStress"
"86",331,"Self-Testing","No Stress",23.333,7,"SelfT-NoStress"
"87",332,"Self-Testing","No Stress",43.333,13,"SelfT-NoStress"
"88",333,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
"89",334,"Self-Testing","No Stress",43.333,13,"SelfT-NoStress"
"90",336,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
"91",400,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
"92",402,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
"93",403,"Self-Testing","Stress",40,12,"SelfT-Stress"
"94",404,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
"95",407,"Self-Testing","Stress",63.333,19,"SelfT-Stress"
"96",408,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
"97",409,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
"98",410,"Self-Testing","Stress",40,12,"SelfT-Stress"
"99",411,"Self-Testing","Stress",36.667,11,"SelfT-Stress"
"100",412,"Self-Testing","Stress",53.333,16,"SelfT-Stress"
"101",413,"Self-Testing","Stress",36.667,11,"SelfT-Stress"
"102",414,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
"103",415,"Self-Testing","Stress",20,6,"SelfT-Stress"
"104",416,"Self-Testing","Stress",53.333,16,"SelfT-Stress"
"105",417,"Self-Testing","Stress",43.333,13,"SelfT-Stress"
"106",418,"Self-Testing","Stress",20,6,"SelfT-Stress"
"107",419,"Self-Testing","Stress",30,9,"SelfT-Stress"
"108",420,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
"109",422,"Self-Testing","Stress",46.667,14,"SelfT-Stress"
"110",424,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
"111",425,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
"112",426,"Self-Testing","Stress",23.333,7,"SelfT-Stress"
"113",428,"Self-Testing","Stress",46.667,14,"SelfT-Stress"
"114",429,"Self-Testing","Stress",30,9,"SelfT-Stress"
"115",430,"Self-Testing","Stress",63.333,19,"SelfT-Stress"
"116",431,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
"117",432,"Self-Testing","Stress",43.333,13,"SelfT-Stress"
"118",433,"Self-Testing","Stress",43.333,13,"SelfT-Stress"
"119",434,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
"120",435,"Self-Testing","Stress",50,15,"SelfT-Stress"
