"","Group","Test%","Time"
"91","Reread",66.66667,22.02
"92","Reread",61.90476,18
"93","Reread",66.66667,22.72
"94","Reread",76.19048,21.72
"95","Reread",76.19048,16.38
"96","Quiz",14.28571,31.87
"97","Quiz",19.04762,90.63
"98","Quiz",28.57143,25.88
"99","Quiz",14.28571,27.98
"100","Quiz",33.33333,52.83
"101","Quiz",28.57143,71.62
"102","Quiz",23.80952,65.5
"103","Quiz",14.28571,36.03
"104","Quiz",19.04762,23.47
"105","Quiz",19.04762,26.73
"106","Quiz",28.57143,32.83
"107","Quiz",23.80952,39.55
"108","Quiz",14.28571,31.42
"109","Quiz",38.09524,25.27
"110","Quiz",28.57143,54.23
"111","Quiz",33.33333,39.42
"112","Quiz",42.85714,51.77
"113","Quiz",33.33333,107.05
"114","Quiz",33.33333,23.42
"115","Quiz",28.57143,69.37
"116","Quiz",14.28571,29.58
"117","Quiz",23.80952,36.08
"118","Quiz",23.80952,40.52
"119","Quiz",33.33333,24.13
"120","Quiz",28.57143,44.8
"121","Quiz",28.57143,25.77
"122","Quiz",23.80952,27.98
"123","Quiz",23.80952,49.05
"124","Quiz",23.80952,28.58
"125","Quiz",47.61905,58.8
"126","Quiz",33.33333,55.67
"127","Quiz",28.57143,26.13
"128","Quiz",28.57143,29.58
"129","Quiz",23.80952,25.1
"130","Quiz",23.80952,NA
"131","Quiz",47.61905,21.08
"132","Quiz",47.61905,20.48
"133","Quiz",42.85714,27.13
"134","Quiz",28.57143,25.27
"135","Quiz",23.80952,23.73
"136","Quiz",42.85714,38.77
"137","Quiz",42.85714,24.23
"138","Quiz",33.33333,30.85
"139","Quiz",28.57143,53.4
"140","Quiz",28.57143,22.45
"141","Quiz",38.09524,22
"142","Quiz",38.09524,25.93
"143","Quiz",33.33333,43.75
"144","Quiz",23.80952,21.93
"145","Quiz",52.38095,50.25
"146","Quiz",47.61905,35.6
"147","Quiz",28.57143,43.55
"148","Quiz",57.14286,71.52
"149","Quiz",42.85714,23.72
"150","Quiz",38.09524,22.8
"151","Quiz",57.14286,50.52
"152","Quiz",33.33333,22.93
"153","Quiz",28.57143,43.38
"154","Quiz",47.61905,41.53
"155","Quiz",47.61905,36.6
"156","Quiz",47.61905,30.5
"157","Quiz",42.85714,25.07
"158","Quiz",61.90476,29.77
"159","Quiz",52.38095,43.17
"160","Quiz",47.61905,23.87
"161","Quiz",47.61905,35.6
"162","Quiz",38.09524,51.48
"163","Quiz",57.14286,68.42
"164","Quiz",47.61905,34.6
"165","Quiz",61.90476,43.12
"166","Quiz",57.14286,60.18
"167","Quiz",47.61905,30.63
"168","Quiz",47.61905,21.4
"169","Quiz",47.61905,45.82
"170","Quiz",42.85714,42.97
"171","Quiz",61.90476,73.08
"172","Quiz",61.90476,49.23
"173","Quiz",61.90476,86.27
"174","Quiz",66.66667,24.65
"175","Quiz",66.66667,29.27
"176","Quiz",61.90476,52.18
"177","Quiz",61.90476,42.23
"178","Quiz",57.14286,43.07
"179","Quiz",71.42857,66.12
"180","Quiz",71.42857,16.75
"181","Quiz",61.90476,27.75
"182","Quiz",76.19048,33.85
"183","Quiz",71.42857,33.12
"184","Quiz",66.66667,29.37
"185","Quiz",66.66667,59.7
"186","Quiz",76.19048,45.55
"187","Quiz",71.42857,30.28
"188","Quiz",90.47619,37.4
"189","Quiz",85.71429,20.8
"190","Quiz",95.2381,61.82
