"","Exposure","Prediction","Performance","Time"
"232","1",50,44,8.168
"233","20",80,39,14.596
"234","20",71,85,36.585
"235","20",86,62,36.793
"236","1",75,11,70.111
"237","20",73,41,63.998
"238","1",40,8,25.766
"239","20",72,71,41.587
"240","1",60,69,31.78
"241","1",96,31,40.318
"242","20",75,57,19.441
"243","1",79,56,29.69
"244","20",75,74,27.263
"245","20",84,22,15.805
"246","1",93,59,18.902
"247","20",95,92,32.445
"248","20",87,82,15.921
"249","1",50,85,22.866
"250","20",86,67,41.327
"251","20",82,75,23.216
"252","20",87,70,73.178
"253","20",51,42,42.08
"254","1",19,58,57.237
"255","1",90,55,22.157
"256","20",73,75,38.773
"257","20",20,75,48.436
"258","1",0,18,95.571
"259","1",70,65,32.593
"260","1",40,27,16.324
"261","20",81,22,27.865
"262","20",51,26,35.223
"263","1",80,76,29.026
"264","20",70,74,58.295
"265","20",30,46,61.529
"266","20",18,36,34.037
"267","1",65,74,27.769
"268","1",81,21,13.387
"269","20",52,40,54.426
"270","20",45,20,11.975
