"","Group","Test%","Time"
"89","RQ",66.66667,29.37
"90","RQ",66.66667,59.7
"91","RQ",76.19048,45.55
"92","RQ",71.42857,30.28
"93","RQ",90.47619,37.4
"94","RQ",85.71429,20.8
"95","RQ",95.2381,61.82
"96","QR",9.52381,35.38
"97","QR",23.80952,26.02
"98","QR",23.80952,32.77
"99","QR",14.28571,30.87
"100","QR",23.80952,NA
"101","QR",28.57143,27.18
"102","QR",19.04762,36.32
"103","QR",23.80952,87.93
"104","QR",28.57143,66.3
"105","QR",28.57143,NA
"106","QR",23.80952,NA
"107","QR",23.80952,22.98
"108","QR",19.04762,29.75
"109","QR",23.80952,64.62
"110","QR",23.80952,98.83
"111","QR",23.80952,24.52
"112","QR",9.52381,131.05
"113","QR",19.04762,NA
"114","QR",33.33333,69.23
"115","QR",23.80952,31.05
"116","QR",23.80952,76.58
"117","QR",42.85714,59.92
"118","QR",23.80952,29.08
"119","QR",33.33333,38.88
"120","QR",28.57143,22.63
"121","QR",33.33333,52.3
"122","QR",14.28571,23.52
"123","QR",33.33333,74.37
"124","QR",19.04762,36.32
"125","QR",23.80952,48.47
"126","QR",33.33333,43.3
"127","QR",19.04762,23.37
"128","QR",38.09524,76.85
"129","QR",33.33333,24.22
"130","QR",38.09524,29.42
"131","QR",38.09524,35.8
"132","QR",23.80952,63
"133","QR",23.80952,33.2
"134","QR",28.57143,59.97
"135","QR",38.09524,26.08
"136","QR",23.80952,33.97
"137","QR",19.04762,55.88
"138","QR",38.09524,107.1
"139","QR",33.33333,NA
"140","QR",38.09524,39.93
"141","QR",38.09524,41.45
"142","QR",28.57143,110.87
"143","QR",28.57143,57.33
"144","QR",47.61905,35.95
"145","QR",47.61905,36.77
"146","QR",47.61905,21.07
"147","QR",38.09524,38.25
"148","QR",38.09524,27.75
"149","QR",28.57143,38.95
"150","QR",33.33333,25.2
"151","QR",47.61905,32.58
"152","QR",38.09524,25.32
"153","QR",38.09524,116.87
"154","QR",33.33333,30.5
"155","QR",23.80952,33.32
"156","QR",28.57143,86.73
"157","QR",33.33333,27.48
"158","QR",38.09524,39.17
"159","QR",42.85714,38.42
"160","QR",42.85714,27.53
"161","QR",38.09524,100.12
"162","QR",33.33333,79.85
"163","QR",38.09524,67.38
"164","QR",33.33333,30.27
"165","QR",42.85714,45.9
"166","QR",33.33333,31.6
"167","QR",42.85714,NA
"168","QR",42.85714,39.42
"169","QR",38.09524,45.17
"170","QR",61.90476,34.68
"171","QR",33.33333,92.15
"172","QR",61.90476,80.9
"173","QR",42.85714,131.05
"174","QR",38.09524,43.98
"175","QR",47.61905,78.07
"176","QR",42.85714,50.57
"177","QR",57.14286,32.43
"178","QR",57.14286,33.52
"179","QR",57.14286,22.12
"180","QR",52.38095,35.13
"181","QR",57.14286,41.93
"182","QR",57.14286,29.6
"183","QR",61.90476,51.62
"184","QR",61.90476,70.52
"185","QR",66.66667,34.1
"186","QR",66.66667,45.33
"187","QR",71.42857,43.77
"188","QR",80.95238,26.42
"189","QR",85.71429,34.47
"190","QR",90.47619,28.68
