"","Diff reliability","Diff confidence","Condition"
"68",-1,0.44444418,"BadNews"
"69",-1,0.83333349,"BadNews"
"70",-0.5,0.44444466,"BadNews"
"71",0.22222233,-0.27777767,"BadNews"
"72",-1.1111112,0.88888884,"BadNews"
"73",-0.72222209,0.72222233,"BadNews"
"74",-0.61111116,0.16666651,"BadNews"
"75",-1.6666666,0.5,"BadNews"
"76",-0.66666675,-0.11111116,"BadNews"
"77",-0.66666698,-0.72222233,"BadNews"
"78",-1.2777779,-0.05555582,"BadNews"
"79",0.77777767,0.33333302,"BadNews"
"80",-0.5,-0.055555344,"BadNews"
"81",-1.3888888,0.16666651,"BadNews"
"82",-0.66666675,0.16666651,"BadNews"
"83",-0.72222221,-0.055555344,"BadNews"
"84",-0.94444454,0.61111116,"BadNews"
"85",1.2777777,-0.055555344,"BadNews"
"86",-0.72222221,0.38888884,"BadNews"
"87",0.22222185,-0.055555344,"BadNews"
"88",-1.1111112,0.88888884,"BadNews"
"89",-0.16666675,-0.55555534,"BadNews"
"90",-0.83333337,0.61111116,"BadNews"
"91",-0.66666675,1.7222223,"BadNews"
"92",1.8333335,2.2222223,"BadNews"
"93",-0.22222233,0.61111069,"BadNews"
"94",-0.55555534,-0.5,"BadNews"
"95",-0.38888884,0.27777815,"BadNews"
"96",0,0.61111116,"BadNews"
"97",-0.16666651,0.38888884,"Control"
"98",0.55555558,0.33333302,"Control"
"99",-0.11111116,-0.22222233,"Control"
"100",-0.11111116,0.66666651,"Control"
"101",0.33333325,0.38888884,"Control"
"102",-0.055555582,-0.11111116,"Control"
"103",0.16666675,-0.66666698,"Control"
"104",-0.05555582,-0.16666651,"Control"
"105",0.055555582,-0.5,"Control"
"106",0.38888884,-1.0555556,"Control"
"107",-0.38888884,0,"Control"
"108",-0.27777791,0.38888884,"Control"
"109",-0.055555582,-0.055555582,"Control"
"110",-0.38888884,0.38888884,"Control"
"111",-0.11111116,-0.22222233,"Control"
"112",0.27777767,0.27777767,"Control"
"113",-0.66666675,-0.16666675,"Control"
"114",-0.27777767,-0.33333302,"Control"
"115",-0.11111069,-0.83333302,"Control"
"116",-0.61111116,-0.055555344,"Control"
"117",-0.11111116,0.66666698,"Control"
"118",0.11111116,0.11111069,"Control"
"119",0,0.11111116,"Control"
"120",-0.33333349,-0.72222233,"Control"
"121",0.38888884,-1.3333335,"Control"
"122",-0.055555582,0.11111116,"Control"
"123",-0.11111116,0,"Control"
"124",0.11111116,-0.38888884,"Control"
"125",-0.05555582,0.72222185,"Control"
"126",-0.33333325,0.05555582,"Control"
"127",-0.83333337,0.61111116,"Control"
"128",0.055555582,-0.44444466,"Control"
"129",-0.5,-1.1111112,"Control"
"130",-0.72222233,-0.66666651,"Control"
"131",0,-0.16666651,"Control"
"132",0.38888884,-0.11111116,"Control"
"133",0.16666675,0.11111116,"Control"
"134",0.27777767,0.11111116,"Control"
"135",0.27777767,-0.38888884,"Control"
"136",-0.27777767,0.055555344,"Control"
"137",-0.16666675,-0.44444418,"Control"
"138",-0.16666675,-0.11111116,"Control"
"139",-0.22222233,0,"Control"
"140",0.055555582,-0.33333302,"Control"
"141",-0.38888884,0.22222185,"Control"
"142",0.22222233,0.16666651,"Control"
"143",-0.22222233,0.16666651,"Control"
"144",-0.66666675,0,"Control"
"145",0.38888884,-1.2222219,"Control"
"146",-0.055555582,0.055555344,"Control"
"147",-0.83333325,-0.83333325,"Control"
"148",-0.55555582,-0.22222209,"Control"
"149",0.33333325,-0.22222185,"Control"
"150",-0.055555582,-0.22222233,"Control"
"151",0.33333325,0,"Control"
"152",-0.16666675,-0.11111116,"Control"
"153",-0.5,0.11111116,"Control"
"154",-0.33333325,-0.11111116,"Control"
"155",-0.55555558,-0.33333349,"Control"
"156",-0.16666651,0.22222233,"Control"
"157",-0.44444442,-0.22222233,"Control"
"158",-0.16666675,-0.66666651,"Control"
"159",-0.11111116,-0.055555344,"Control"
"160",0.4444443,0.11111116,"Control"
"161",-0.22222233,-0.055555344,"Control"
"162",0,-0.33333302,"Control"
"163",-0.33333325,0.66666698,"Control"
"164",0.33333302,-0.11111116,"Control"
"165",0,-0.05555582,"Control"
"166",0,0.22222233,"Control"
"167",0.27777791,0.11111116,"Control"
"168",0.22222209,-0.11111069,"Control"
"169",0.16666675,0,"Control"
"170",-0.27777767,0.27777815,"Control"
"171",-0.77777767,0.38888884,"Control"
"172",-0.22222233,-0.05555582,"Control"
"173",0.27777767,-0.22222185,"Control"
"174",-0.33333325,-0.16666651,"Control"
"175",-0.055555582,-0.11111116,"Control"
"176",0.11111116,-0.11111116,"Control"
"177",0.16666675,-0.22222185,"Control"
"178",0.11111116,-0.5,"Control"
"179",-0.22222233,-0.16666651,"Control"
"180",0.11111093,0,"Control"
"181",0,-0.11111116,"Control"
"182",0.16666675,0.11111116,"Control"
"183",-0.055555582,0.11111069,"Control"
"184",-0.88888884,0.27777815,"Control"
"185",0.16666675,0.5,"Control"
"186",-0.61111116,0.44444466,"Control"
"187",-0.11111116,0.11111116,"Control"
"188",0.055555344,-0.61111116,"Control"
"189",-0.55555558,0.44444418,"Control"
"190",-0.055555582,-0.33333349,"Control"
"191",-0.27777767,-0.44444418,"Control"
"192",0.44444418,0.88888884,"Control"
"193",0.66666698,0.83333349,"Control"
"194",-0.11111116,0,"Control"
"195",0,0.38888884,"Control"
"196",0.22222233,-0.16666651,"Control"
"197",-0.11111116,-0.22222233,"Control"
"198",-0.22222233,1,"Control"
