"","Response_ID","Belief_in_God","Age"
"122","R_07W0KJMoxpEr4yN","100",46
"123","R_9HnRThY4GPz9Rml","0",34
"124","R_4ZOKJ7W7XeZxqPX","50",32
"125","R_0JLgeV770umlztX","3",31
"126","R_427irn463T8Wnul","0",30
"127","R_6RNJW9BENeRZ3dH","40",43
"128","R_0wUOL8BoTw2uqgd","60",56
"129","R_6DL3kvPnMW4cow5","0",31
"130","R_9XelOAkCFHoM4OV","100",42
"131","R_bI2la0LhJ9kBmhn","85",30
"132","R_9GHLKlIZGJRc1wN","80",25
"133","R_cVkwWOazcQ2G1Tv","25",33
"134","R_dnBHogyT4SYd7W5","50",24
"135","R_0ICRiINT0mkB15P","0",31
"136","R_5gsv6fYnpgyQ6kl","2",29
"137","R_4OpHqVH2Hv70j6R","50",49
"138","R_0j0Nsl0DOVbJGD3","99",33
"139","R_56VCHlOZuTLl8YR","0",60
"140","R_41SKS15D3aVKvUp","70",22
"141","R_3JWheV0Rxl8xFJz","0",29
"142","R_1C7EJzlZpEzcP3L","1",23
"143","R_eQZKAWCvtW7KcaF","100",38
"144","R_bgEBfV7piLRtn1z","100",49
"145","R_eX0EtN8yLTcbvmJ","65",21
"146","R_8x2JfmK72m3G2tn","95",47
"147","R_6t0bFCvPr6SSjUV","100",26
"148","R_5hakHGm1D9L0yYB","75",40
"149","R_07nrEkRCiP7BrH7","20",36
"150","R_ai4QnBRwY2ODolD","0",28
"151","R_8CIdrMhd3i2cSYB","90",30
"152","R_0rBGbdBeM6N20VT","50",23
"153","R_bKmQBijydOGA6fb","100",26
"154","R_eaqPZ5xUvtWNBad","0",22
"155","R_cMwEmGsW8vRTa1D","0",34
"156","R_38DBysFpsT4IbDD","0",24
"157","R_2sIS3E0j8sFAR01","20",30
"158","R_5yDvr1LMf9JGyQ5","5",55
"159","R_eyUxp8LjrEgU4Ml","90",31
"160","R_3xZ6mKt3I408bdP","100",47
"161","R_eKe9eKEtdYIUh37","50",40
"162","R_brsvY0QdbBkAfSR","10",33
"163","R_8GrrX7Jd2C5EqPP","0",29
"164","R_6tEsbc0366XA3e5","0",35
"165","R_aWcvMzpgMLPWjyZ","25",24
"166","R_73biQjCAjB2k4zr","100",33
"167","R_3q6EQDIbHUwhyct","50",35
"168","R_3IetFeCvMFPymqx","10",26
"169","R_5gteJS4hqhHRuN7","100",20
"170","R_4UWX3RRDFOrI49T","0",40
"171","R_0Bt9BLeoCHqSdRH","60",25
"172","R_41scxNUA5gL8PHv","10",40
"173","R_agvGR7nVYTMykCN","50",51
"174","R_2ccxujhnVA0Oju5","0",48
"175","R_ezYNiEhqcnQx6bH","0",33
"176","R_1GKWnWPHmK61bPD","5",29
"177","R_71mJjSbqBOqAqXj","50",37
"178","R_3F1jjN9devA1KG9","10",20
"179","R_eexkjgrcRwYzDbn","1",27
"180","R_bryg6vv9wsbiHmB","0",24
"181","R_1FSSgJdF38LX87r","25",40
"182","R_0ebJvtggSCV9acJ","5",47
"183","R_7Ped1R4uQmiCZcV","99",27
"184","R_etitJntjwMPjGiF","85",21
"185","R_4T2XkDhcZnoYJU1","20",63
"186","R_6lOATVP5y8OZ93L","1",31
"187","R_1Nt1rCFa2LRB4H3","99",29
"188","R_2bnMqGE5wwCsvUV","90",26
"189","R_9zuA7XWeBYpoNsF","100",28
"190","R_7WFnCB29LcBGfOJ","100",55
"191","R_e2mfPWkf6me0lbD","10",41
"192","R_2lUhxw2GSqcA1P7","0",24
"193","R_2oiwdyxWWlYGvPv","30",20
"194","R_2uESX5xRH0ca2ax","95",29
"195","R_e5oIKiUMcJEXT5H","60",34
"196","R_aeEBec3R8i0yAzb","15",30
"197","R_5he4szMuseemq5T","100",40
"198","R_8D1AwMQHiwSDrrD","75",24
"199","R_3EjWnDxZV9MqCod","5",26
"200","R_3g5Sva1Ch4IahAp","1",29
"201","R_cHBrSVQrsRt6xWR","100",28
"202","R_8BnfluDjhtY0FjD","100",24
"203","R_4IRODqQKfeT9LKZ","55",43
"204","R_a67Q4SIuB57ohnv","0",21
"205","R_5pYAALKeWP9AtWR","100",33
"206","R_bNMsYhHclmC8iP3","50",24
"207","R_br29jP6ZcmDvhZ3","85",33
"208","R_bx9VGeH56R7wHEp","1",55
"209","R_5gojEdk4arN4GDr","15",22
"210","R_1HUjCdDFg2oreFT","0",43
"211","R_1FBHnAyJumkBz5H","0",23
"212","R_395gg9tK5MQHWC1","60",29
"213","R_8dbL7I5b69DyDCR","50",54
